===== 07_FERRAMENTAS_COMANDOS_INSTALADOS =====

Name                                            CommandType Source                                  
Clear-WindowsCorruptMountPoint                       Cmdlet Dism                                    
Clear-WUJob                                           Alias PSWindowsUpdate                         
Close-SmbOpenFile                                  Function SmbShare                                
Close-SmbSession                                   Function SmbShare                                
Collect                                            Function                                         
Compare-Object                                       Cmdlet Microsoft.PowerShell.Utility            
Complete-BitsTransfer                                Cmdlet BitsTransfer                            
Complete-DtcDiagnosticTransaction                    Cmdlet MsDtc                                   
Complete-Transaction                                 Cmdlet Microsoft.PowerShell.Management         
Compress-Archive                                   Function Microsoft.PowerShell.Archive            
Configuration                                      Function PSDesiredStateConfiguration             
Confirm-SecureBootUEFI                               Cmdlet SecureBoot                              
Connect-IscsiTarget                                Function iSCSI                                   
Connect-PSSession                                    Cmdlet Microsoft.PowerShell.Core               
Connect-VirtualDisk                                Function Storage                                 
Connect-WSMan                                        Cmdlet Microsoft.WSMan.Management              
Context                                            Function Pester                                  
ConvertFrom-CIPolicy                                 Cmdlet ConfigCI                                
ConvertFrom-Csv                                      Cmdlet Microsoft.PowerShell.Utility            
ConvertFrom-Json                                     Cmdlet Microsoft.PowerShell.Utility            
ConvertFrom-SddlString                             Function Microsoft.PowerShell.Utility            
ConvertFrom-SecureString                             Cmdlet Microsoft.PowerShell.Security           
ConvertFrom-String                                   Cmdlet Microsoft.PowerShell.Utility            
ConvertFrom-StringData                               Cmdlet Microsoft.PowerShell.Utility            
Convert-Path                                         Cmdlet Microsoft.PowerShell.Management         
Convert-PhysicalDisk                               Function Storage                                 
Convert-String                                       Cmdlet Microsoft.PowerShell.Utility            
ConvertTo-Csv                                        Cmdlet Microsoft.PowerShell.Utility            
ConvertTo-Html                                       Cmdlet Microsoft.PowerShell.Utility            
ConvertTo-Json                                       Cmdlet Microsoft.PowerShell.Utility            
ConvertTo-ProcessMitigationPolicy                    Cmdlet ProcessMitigations                      
ConvertTo-SecureString                               Cmdlet Microsoft.PowerShell.Security           
ConvertTo-TpmOwnerAuth                               Cmdlet TrustedPlatformModule                   
ConvertTo-Xml                                        Cmdlet Microsoft.PowerShell.Utility            
Copy-BcdEntry                                        Cmdlet Microsoft.Windows.Bcd.Cmdlets           
Copy-Item                                            Cmdlet Microsoft.PowerShell.Management         
Copy-ItemProperty                                    Cmdlet Microsoft.PowerShell.Management         
Copy-NetFirewallRule                               Function NetSecurity                             
Copy-NetIPsecMainModeCryptoSet                     Function NetSecurity                             
Copy-NetIPsecMainModeRule                          Function NetSecurity                             
Copy-NetIPsecPhase1AuthSet                         Function NetSecurity                             
Copy-NetIPsecPhase2AuthSet                         Function NetSecurity                             
Copy-NetIPsecQuickModeCryptoSet                    Function NetSecurity                             
Copy-NetIPsecRule                                  Function NetSecurity                             
Copy-UserInternationalSettingsToSystem               Cmdlet International                           
D:                                                 Function                                         
Debug-FileShare                                    Function Storage                                 
Debug-Job                                            Cmdlet Microsoft.PowerShell.Core               
Debug-MMAppPrelaunch                               Function MMAgent                                 
Debug-Process                                        Cmdlet Microsoft.PowerShell.Management         
Debug-Runspace                                       Cmdlet Microsoft.PowerShell.Utility            
Debug-StorageSubSystem                             Function Storage                                 
Debug-Volume                                       Function Storage                                 
Delete-DeliveryOptimizationCache                   Function DeliveryOptimization                    
Describe                                           Function Pester                                  
Disable-AppBackgroundTaskDiagnosticLog               Cmdlet AppBackgroundTask                       
Disable-Appv                                         Cmdlet AppvClient                              
Disable-AppvClientConnectionGroup                    Cmdlet AppvClient                              
Disable-BC                                         Function BranchCache                             
Disable-BcdElementBootDebug                          Cmdlet Microsoft.Windows.Bcd.Cmdlets           
Disable-BcdElementBootEms                            Cmdlet Microsoft.Windows.Bcd.Cmdlets           
Disable-BcdElementDebug                              Cmdlet Microsoft.Windows.Bcd.Cmdlets           
Disable-BcdElementEms                                Cmdlet Microsoft.Windows.Bcd.Cmdlets           
Disable-BcdElementEventLogging                       Cmdlet Microsoft.Windows.Bcd.Cmdlets           
Disable-BcdElementHypervisorDebug                    Cmdlet Microsoft.Windows.Bcd.Cmdlets           
Disable-BCDowngrading                              Function BranchCache                             
Disable-BCServeOnBattery                           Function BranchCache                             
Disable-BitLocker                                  Function BitLocker                               
Disable-BitLockerAutoUnlock                        Function BitLocker                               
Disable-ComputerRestore                              Cmdlet Microsoft.PowerShell.Management         
Disable-DAManualEntryPointSelection                Function DirectAccessClientComponents            
Disable-DeliveryOptimizationVerboseLogs            Function DeliveryOptimization                    
Disable-DscDebug                                   Function PSDesiredStateConfiguration             
Disable-JobTrigger                                   Cmdlet PSScheduledJob                          
Disable-LocalUser                                    Cmdlet Microsoft.PowerShell.LocalAccounts      
Disable-MMAgent                                    Function MMAgent                                 
Disable-NetAdapter                                 Function NetAdapter                              
Disable-NetAdapterBinding                          Function NetAdapter                              
Disable-NetAdapterChecksumOffload                  Function NetAdapter                              
Disable-NetAdapterEncapsulatedPacketTaskOffload    Function NetAdapter                              
Disable-NetAdapterIPsecOffload                     Function NetAdapter                              
Disable-NetAdapterLso                              Function NetAdapter                              
Disable-NetAdapterPacketDirect                     Function NetAdapter                              
Disable-NetAdapterPowerManagement                  Function NetAdapter                              
Disable-NetAdapterQos                              Function NetAdapter                              
Disable-NetAdapterRdma                             Function NetAdapter                              
Disable-NetAdapterRsc                              Function NetAdapter                              
Disable-NetAdapterRss                              Function NetAdapter                              
Disable-NetAdapterSriov                            Function NetAdapter                              
Disable-NetAdapterUro                              Function NetAdapter                              
Disable-NetAdapterUso                              Function NetAdapter                              
Disable-NetAdapterVmq                              Function NetAdapter                              
Disable-NetDnsTransitionConfiguration              Function NetworkTransition                       
Disable-NetFirewallHyperVRule                      Function NetSecurity                             
Disable-NetFirewallRule                            Function NetSecurity                             
Disable-NetIPHttpsProfile                          Function NetworkTransition                       
Disable-NetIPsecMainModeRule                       Function NetSecurity                             
Disable-NetIPsecRule                               Function NetSecurity                             
Disable-NetNatTransitionConfiguration              Function NetworkTransition                       
Disable-NetworkSwitchEthernetPort                  Function NetworkSwitchManager                    
Disable-NetworkSwitchFeature                       Function NetworkSwitchManager                    
Disable-NetworkSwitchVlan                          Function NetworkSwitchManager                    
Disable-OdbcPerfCounter                            Function Wdac                                    
Disable-PhysicalDiskIdentification                 Function Storage                                 
Disable-PhysicalDiskIndication                        Alias VMDirectStorage                         
Disable-PhysicalDiskIndication                        Alias Storage                                 
Disable-PnpDevice                                  Function PnpDevice                               
Disable-PSBreakpoint                                 Cmdlet Microsoft.PowerShell.Utility            
Disable-PSRemoting                                   Cmdlet Microsoft.PowerShell.Core               
Disable-PSSessionConfiguration                       Cmdlet Microsoft.PowerShell.Core               
Disable-PSTrace                                    Function PSDiagnostics                           
Disable-PSWSManCombinedTrace                       Function PSDiagnostics                           
Disable-ReFSDedup                                    Cmdlet Microsoft.ReFsDedup.Commands            
Disable-RunspaceDebug                                Cmdlet Microsoft.PowerShell.Utility            
Disable-ScheduledJob                                 Cmdlet PSScheduledJob                          
Disable-ScheduledTask                              Function ScheduledTasks                          
Disable-SmbDelegation                              Function SmbShare                                
Disable-StorageBusCache                            Function StorageBusCache                         
Disable-StorageBusDisk                             Function StorageBusCache                         
Disable-StorageDataCollection                      Function Storage                                 
Disable-StorageDiagnosticLog                          Alias VMDirectStorage                         
Disable-StorageDiagnosticLog                          Alias Storage                                 
Disable-StorageEnclosureIdentification             Function Storage                                 
Disable-StorageEnclosurePower                      Function Storage                                 
Disable-StorageHighAvailability                    Function Storage                                 
Disable-StorageMaintenanceMode                     Function Storage                                 
Disable-TlsCipherSuite                               Cmdlet TLS                                     
Disable-TlsEccCurve                                  Cmdlet TLS                                     
Disable-TlsSessionTicketKey                          Cmdlet TLS                                     
Disable-TpmAutoProvisioning                          Cmdlet TrustedPlatformModule                   
Disable-Uev                                          Cmdlet UEV                                     
Disable-UevAppxPackage                               Cmdlet UEV                                     
Disable-UevTemplate                                  Cmdlet UEV                                     
Disable-WdacBidTrace                               Function Wdac                                    
Disable-WindowsErrorReporting                        Cmdlet WindowsErrorReporting                   
Disable-WindowsOptionalFeature                       Cmdlet Dism                                    
Disable-WSManCredSSP                                 Cmdlet Microsoft.WSMan.Management              
Disable-WSManTrace                                 Function PSDiagnostics                           
Disconnect-IscsiTarget                             Function iSCSI                                   
Disconnect-PSSession                                 Cmdlet Microsoft.PowerShell.Core               
Disconnect-VirtualDisk                             Function Storage                                 
Disconnect-WSMan                                     Cmdlet Microsoft.WSMan.Management              
Dismount-AppPackageVolume                             Alias Appx                                    
Dismount-AppxVolume                                  Cmdlet Appx                                    
Dismount-DiskImage                                 Function Storage                                 
Dismount-MsixPackageVolume                            Alias Appx                                    
Dismount-MsixVolume                                   Alias Appx                                    
Dismount-WindowsImage                                Cmdlet Dism                                    
Download-WindowsUpdate                                Alias PSWindowsUpdate                         
E:                                                 Function                                         
Edit-CIPolicyRule                                    Cmdlet ConfigCI                                
Enable-AppBackgroundTaskDiagnosticLog                Cmdlet AppBackgroundTask                       
Enable-Appv                                          Cmdlet AppvClient                              
Enable-AppvClientConnectionGroup                     Cmdlet AppvClient                              
Enable-BcdElementBootDebug                           Cmdlet Microsoft.Windows.Bcd.Cmdlets           
Enable-BcdElementBootEms                             Cmdlet Microsoft.Windows.Bcd.Cmdlets           
Enable-BcdElementDebug                               Cmdlet Microsoft.Windows.Bcd.Cmdlets           
Enable-BcdElementEms                                 Cmdlet Microsoft.Windows.Bcd.Cmdlets           
Enable-BcdElementEventLogging                        Cmdlet Microsoft.Windows.Bcd.Cmdlets           
Enable-BcdElementHypervisorDebug                     Cmdlet Microsoft.Windows.Bcd.Cmdlets           
Enable-BCDistributed                               Function BranchCache                             
Enable-BCDowngrading                               Function BranchCache                             
Enable-BCHostedClient                              Function BranchCache                             
Enable-BCHostedServer                              Function BranchCache                             
Enable-BCLocal                                     Function BranchCache                             
Enable-BCServeOnBattery                            Function BranchCache                             
Enable-BitLocker                                   Function BitLocker                               
Enable-BitLockerAutoUnlock                         Function BitLocker                               
Enable-ComputerRestore                               Cmdlet Microsoft.PowerShell.Management         
Enable-DAManualEntryPointSelection                 Function DirectAccessClientComponents            
Enable-DeliveryOptimizationVerboseLogs             Function DeliveryOptimization                    
Enable-DscDebug                                    Function PSDesiredStateConfiguration             
Enable-JobTrigger                                    Cmdlet PSScheduledJob                          
Enable-LocalUser                                     Cmdlet Microsoft.PowerShell.LocalAccounts      
Enable-MMAgent                                     Function MMAgent                                 
Enable-NetAdapter                                  Function NetAdapter                              
Enable-NetAdapterBinding                           Function NetAdapter                              
Enable-NetAdapterChecksumOffload                   Function NetAdapter                              
Enable-NetAdapterEncapsulatedPacketTaskOffload     Function NetAdapter                              
Enable-NetAdapterIPsecOffload                      Function NetAdapter                              
Enable-NetAdapterLso                               Function NetAdapter                              
Enable-NetAdapterPacketDirect                      Function NetAdapter                              
Enable-NetAdapterPowerManagement                   Function NetAdapter                              
Enable-NetAdapterQos                               Function NetAdapter                              
Enable-NetAdapterRdma                              Function NetAdapter                              
Enable-NetAdapterRsc                               Function NetAdapter                              
Enable-NetAdapterRss                               Function NetAdapter                              
Enable-NetAdapterSriov                             Function NetAdapter                              
Enable-NetAdapterUro                               Function NetAdapter                              
Enable-NetAdapterUso                               Function NetAdapter                              
Enable-NetAdapterVmq                               Function NetAdapter                              
Enable-NetDnsTransitionConfiguration               Function NetworkTransition                       
Enable-NetFirewallHyperVRule                       Function NetSecurity                             
Enable-NetFirewallRule                             Function NetSecurity                             
Enable-NetIPHttpsProfile                           Function NetworkTransition                       
Enable-NetIPsecMainModeRule                        Function NetSecurity                             
Enable-NetIPsecRule                                Function NetSecurity                             
Enable-NetNatTransitionConfiguration               Function NetworkTransition                       
Enable-NetworkSwitchEthernetPort                   Function NetworkSwitchManager                    
Enable-NetworkSwitchFeature                        Function NetworkSwitchManager                    
Enable-NetworkSwitchVlan                           Function NetworkSwitchManager                    
Enable-OdbcPerfCounter                             Function Wdac                                    
Enable-PhysicalDiskIdentification                  Function Storage                                 
Enable-PhysicalDiskIndication                         Alias VMDirectStorage                         
Enable-PhysicalDiskIndication                         Alias Storage                                 
Enable-PnpDevice                                   Function PnpDevice                               
Enable-PSBreakpoint                                  Cmdlet Microsoft.PowerShell.Utility            
Enable-PSRemoting                                    Cmdlet Microsoft.PowerShell.Core               
Enable-PSSessionConfiguration                        Cmdlet Microsoft.PowerShell.Core               
Enable-PSTrace                                     Function PSDiagnostics                           
Enable-PSWSManCombinedTrace                        Function PSDiagnostics                           
Enable-ReFSDedup                                     Cmdlet Microsoft.ReFsDedup.Commands            
Enable-RunspaceDebug                                 Cmdlet Microsoft.PowerShell.Utility            
Enable-ScheduledJob                                  Cmdlet PSScheduledJob                          
Enable-ScheduledTask                               Function ScheduledTasks                          
Enable-SmbDelegation                               Function SmbShare                                
Enable-StorageBusCache                             Function StorageBusCache                         
Enable-StorageBusDisk                              Function StorageBusCache                         
Enable-StorageDataCollection                       Function Storage                                 
Enable-StorageDiagnosticLog                           Alias Storage                                 
Enable-StorageDiagnosticLog                           Alias VMDirectStorage                         
Enable-StorageEnclosureIdentification              Function Storage                                 
Enable-StorageEnclosurePower                       Function Storage                                 
Enable-StorageHighAvailability                     Function Storage                                 
Enable-StorageMaintenanceMode                      Function Storage                                 
Enable-TlsCipherSuite                                Cmdlet TLS                                     
Enable-TlsEccCurve                                   Cmdlet TLS                                     
Enable-TlsSessionTicketKey                           Cmdlet TLS                                     
Enable-TpmAutoProvisioning                           Cmdlet TrustedPlatformModule                   
Enable-Uev                                           Cmdlet UEV                                     
Enable-UevAppxPackage                                Cmdlet UEV                                     
Enable-UevTemplate                                   Cmdlet UEV                                     
Enable-WdacBidTrace                                Function Wdac                                    
Enable-WindowsErrorReporting                         Cmdlet WindowsErrorReporting                   
Enable-WindowsOptionalFeature                        Cmdlet Dism                                    
Enable-WSManCredSSP                                  Cmdlet Microsoft.WSMan.Management              
Enable-WSManTrace                                  Function PSDiagnostics                           
Enable-WURemoting                                    Cmdlet PSWindowsUpdate                         
Enter-PSHostProcess                                  Cmdlet Microsoft.PowerShell.Core               
Enter-PSSession                                      Cmdlet Microsoft.PowerShell.Core               
Exit-PSHostProcess                                   Cmdlet Microsoft.PowerShell.Core               
Exit-PSSession                                       Cmdlet Microsoft.PowerShell.Core               
Expand-Archive                                     Function Microsoft.PowerShell.Archive            
Expand-OsImage                                       Cmdlet Dism                                    
Expand-WindowsCustomDataImage                        Cmdlet Dism                                    
Expand-WindowsImage                                  Cmdlet Dism                                    
Export-Alias                                         Cmdlet Microsoft.PowerShell.Utility            
Export-BCCachePackage                              Function BranchCache                             
Export-BcdStore                                      Cmdlet Microsoft.Windows.Bcd.Cmdlets           
Export-BCSecretKey                                 Function BranchCache                             
Export-BinaryMiLog                                   Cmdlet CimCmdlets                              
Export-Certificate                                   Cmdlet PKI                                     
Export-Clixml                                        Cmdlet Microsoft.PowerShell.Utility            
Export-Console                                       Cmdlet Microsoft.PowerShell.Core               
Export-Counter                                       Cmdlet Microsoft.PowerShell.Diagnostics        
Export-Csv                                           Cmdlet Microsoft.PowerShell.Utility            
Export-FormatData                                    Cmdlet Microsoft.PowerShell.Utility            
Export-ModuleMember                                  Cmdlet Microsoft.PowerShell.Core               
Export-ODataEndpointProxy                          Function Microsoft.PowerShell.ODataUtils         
Export-OsImage                                       Cmdlet Dism                                    
Export-PfxCertificate                                Cmdlet PKI                                     
Export-ProvisioningPackage                           Cmdlet Provisioning                            
Export-PSSession                                     Cmdlet Microsoft.PowerShell.Utility            
Export-ScheduledTask                               Function ScheduledTasks                          
Export-StartLayout                                   Cmdlet StartLayout                             
Export-StartLayoutEdgeAssets                         Cmdlet StartLayout                             
Export-TlsSessionTicketKey                           Cmdlet TLS                                     
Export-Trace                                         Cmdlet Provisioning                            
Export-UevConfiguration                              Cmdlet UEV                                     
Export-UevPackage                                    Cmdlet UEV                                     
Export-WindowsCapabilitySource                       Cmdlet Dism                                    
Export-WindowsDriver                                 Cmdlet Dism                                    
Export-WindowsImage                                  Cmdlet Dism                                    
Export-WinhttpProxy                                Function WinHttpProxy                            
F:                                                 Function                                         
Find-Command                                       Function PowerShellGet                           
Find-DscResource                                   Function PowerShellGet                           
Find-LapsADExtendedRights                            Cmdlet LAPS                                    
Find-Module                                        Function PowerShellGet                           
Find-NetIPsecRule                                  Function NetSecurity                             
Find-NetRoute                                      Function NetTCPIP                                
Find-Package                                         Cmdlet PackageManagement                       
Find-PackageProvider                                 Cmdlet PackageManagement                       
Find-RoleCapability                                Function PowerShellGet                           
Find-Script                                        Function PowerShellGet                           
Flush-EtwTraceSession                              Function EventTracingManagement                  
Flush-Volume                                          Alias Storage                                 
Flush-Volume                                          Alias VMDirectStorage                         
ForEach-Object                                       Cmdlet Microsoft.PowerShell.Core               
Format-Custom                                        Cmdlet Microsoft.PowerShell.Utility            
Format-Hex                                         Function Microsoft.PowerShell.Utility            
Format-List                                          Cmdlet Microsoft.PowerShell.Utility            
Format-SecureBootUEFI                                Cmdlet SecureBoot                              
Format-Table                                         Cmdlet Microsoft.PowerShell.Utility            
Format-Volume                                      Function Storage                                 
Format-Wide                                          Cmdlet Microsoft.PowerShell.Utility            
G:                                                 Function                                         
Get-Acl                                              Cmdlet Microsoft.PowerShell.Security           
Get-ADLicenseInfo                                  Function OSLicense                               
Get-Alias                                            Cmdlet Microsoft.PowerShell.Utility            
Get-AppBackgroundTask                              Function AppBackgroundTask                       
Get-AppLockerFileInformation                         Cmdlet AppLocker                               
Get-AppLockerPolicy                                  Cmdlet AppLocker                               
Get-AppPackage                                        Alias Appx                                    
Get-AppPackageAutoUpdateSettings                      Alias Appx                                    
Get-AppPackageDefaultVolume                           Alias Appx                                    
Get-AppPackageLastError                               Alias Appx                                    
Get-AppPackageLog                                     Alias Appx                                    
Get-AppPackageManifest                                Alias Appx                                    
Get-AppPackageVolume                                  Alias Appx                                    
Get-AppProvisionedPackage                             Alias Dism                                    
Get-AppProvisionedSharedPackageContainer             Cmdlet Dism                                    
Get-AppSharedPackageContainer                        Cmdlet Appx                                    
Get-AppvClientApplication                            Cmdlet AppvClient                              
Get-AppvClientConfiguration                          Cmdlet AppvClient                              
Get-AppvClientConnectionGroup                        Cmdlet AppvClient                              
Get-AppvClientMode                                   Cmdlet AppvClient                              
Get-AppvClientPackage                                Cmdlet AppvClient                              
Get-AppvPublishingServer                             Cmdlet AppvClient                              
Get-AppvStatus                                       Cmdlet AppvClient                              
Get-AppvVirtualProcess                             Function AppvClient                              
Get-AppxDefaultVolume                                Cmdlet Appx                                    
Get-AppxLastError                                  Function Appx                                    
Get-AppxLog                                        Function Appx                                    
Get-AppxPackage                                      Cmdlet Appx                                    
Get-AppxPackageAutoUpdateSettings                    Cmdlet Appx                                    
Get-AppxPackageManifest                              Cmdlet Appx                                    
Get-AppxProvisionedPackage                           Cmdlet Dism                                    
